Price,Displacement,Power,Torque,Cylinder_Config,Engine_Location,Fuel_System,Turbocharger,Emission_Norm,Fuel_Type,Fuel_Tank_Capacity,ARAI_Mileage,City_Mileage,Highway_Mileage,Body_Type,Length,Width,Height,Wheelbase,Kerb_Weight,GVW,Ground_Clearance,Boot_Space,Drivetrain,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Airbags,ABS,EBD,EBA,ESP,Traction_Control,Hill_Assist,ISOFIX,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Start/Stop_Button,Cruise_Control,Parking_Assistance,Rain_Wipers,Auto_Headlamps,Auto_Mirror,Adj_Steering,Seat_Height_Adjustment,Leather_Steering,Multi_Steering,Rear_Armrest,Cool_Glove_Box,Infotainment,Navigation_System,Bluetooth,USB,Multi_Display,Audiosystem,Make,Model,Variant,Cylinders,Valves/Cylinder,Doors,Seats,Number_of_Airbags
292667,624,37.48,51.0,In-line,"Rear, Transverse",Injection,No,BS IV,Petrol,24.0,23.6,23.6,18.5,Hatchback,3164,1750,1652,2230,660,1250,180,110,Rear Wheel Drive,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",Driver frontal airbag,No,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,Yes,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,CD Player with USB & Aux-in,Tata,Nano Genx,Xt,2,2,5,4,2
236447,624,37.48,51.0,In-line,"Rear, Transverse",Injection,No,BS IV,Petrol,24.0,23.6,23.6,18.5,Hatchback,3164,1750,1652,2230,725,1250,180,110,Rear Wheel Drive,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",Driver frontal airbag,No,No,No,No,No,No,No,Yes,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,Not on offer,Tata,Nano Genx,Xe,2,2,5,4,2
296661,624,37.48,51.0,In-line,"Rear, Transverse",Injection,No,BS IV,CNG,15.0,18.15,13.8,15.5,Hatchback,3164,1750,1652,2230,710,1230,180,110,Rear Wheel Drive,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",Driver frontal airbag,No,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,Yes,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,Not on offer,Tata,Nano Genx,Emax Xm,2,2,4,4,2
334768,624,37.48,51.0,In-line,"Rear, Transverse",Injection,No,BS IV,Petrol,24.0,21.9,23.6,18.5,Hatchback,3164,1750,1652,2230,725,1250,180,94,Rear Wheel Drive,5,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",Driver frontal airbag,No,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,Yes,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,CD Player with USB & Aux-in,Tata,Nano Genx,Xta,2,2,5,4,2
272223,624,37.48,51.0,In-line,"Rear, Transverse",Injection,No,BS IV,Petrol,24.0,23.6,23.6,18.5,Hatchback,3164,1750,1652,2230,725,1250,180,110,Rear Wheel Drive,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",Driver frontal airbag,No,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,Not on offer,Tata,Nano Genx,Xm,2,2,5,4,2
314815,624,37.48,51.0,In-line,"Rear, Transverse",Injection,No,BS IV,Petrol,24.0,21.9,23.6,18.5,Hatchback,3164,1750,1652,2230,710,1250,180,94,Rear Wheel Drive,5,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",Driver frontal airbag,No,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,Not on offer,Tata,Nano Genx,Xma,2,2,5,4,2
279650,799,53.26,72.0,In-line,"Front, Transverse",Injection,No,BS IV,Petrol,28.0,25.17,21.38,24.0,Hatchback,3429,1560,1541,2348,871,1250,185,222,Front Wheel Drive,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,No,No,No,No,No,Yes,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,Not on offer,Datsun,Redi-Go,D,3,4,5,5,2
351832,799,53.26,72.0,In-line,"Front, Transverse",Injection,No,BS IV,Petrol,28.0,25.17,21.38,24.0,Hatchback,3429,1560,1541,2348,871,1250,185,222,Front Wheel Drive,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,CD Player with USB & Aux-in,Datsun,Redi-Go,T,3,4,5,5,2
333419,799,53.26,72.0,In-line,"Front, Transverse",Injection,No,BS IV,Petrol,28.0,25.17,21.38,24.0,Hatchback,3429,1560,1541,2348,871,1250,185,222,Front Wheel Drive,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,Not on offer,Datsun,Redi-Go,A,3,4,5,5,2
362000,799,53.26,72.0,In-line,"Front, Transverse",Injection,No,BS IV,Petrol,28.0,25.17,21.38,24.0,Hatchback,3429,1560,1541,2348,871,1250,185,222,Front Wheel Drive,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,Yes,No,Yes,Yes,Yes,CD Player with USB & Aux-in,Datsun,Redi-Go,S,3,4,5,5,2
